CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,
"8202","BIOL 450","1","Environmental Microbiology","4","","Lec","MWF","1100-1150","MCM 260","Knies, J","4","Open",
"8203","BIOL 450L","1","Environmental Microbiology Lab","0","","Lab","R","1330-1720","FORBES 1015","Knies, J","0","Closed",
"8210","BIOL 450L","2","Environmental Microbiology Lab","0","","Lab","F","1330-1720","FORBES 1015","Knies, J","4","Open",
"7704","BIOL 454","1","Global Change","3","","Lec","W","1800-2050","FORBES 1039","Whiting, G","1","Open",
"7705","BIOL 491","W1","WI: Senior Seminar","1","  WI","Lec","M","1100-1150","FORBES 2058","Wiens, K","0","Closed",
"7706","BIOL 491","W2","WI: Senior Seminar","1","  WI","Lec","T","1800-1850","FORBES 2070A","Lasseter, B","0","Closed",
"7707","BIOL 491","W3","WI: Senior Seminar","1","  WI","Lec","W","1200-1250","FORBES 2088","Whiting, G","0","Closed",
"7708","BIOL 491","W4","WI: Senior Seminar","1","  WI","Lec","M","0900-0950","LUTR 111","Mitrano, D","0","Closed",
"7709","BIOL 491","W5","WI: Senior Seminar","1","  WI","Lec","M","1000-1050","LUTR 111","Mitrano, D","0","Closed",
"7710","BIOL 491","W6","WI: Senior Seminar","1","  WI","Lec","W","1800-1850","FORBES 2012","Morton, T","0","Closed",
"8365","BIOL 492","1","Ind St: Eco of Big-Eared Bats","1 - 4","","Ind","","","ARR ","Sherwin, R","0","Closed",
"8230","BIOL 495","1","SP TPC: Disease Biology","3","","Lec","MWF","1000-1050","LUTR 121","Grau, H","2","Open",
"8206","BIOL 495","2","SP TPC: Community Ecology","4","","Lec","TR","0930-1045","FORBES 3014","Lattanzio, M","8","Open",
"8207","BIOL 495L","1","SP TPC: Community Ecology Lab","0","","Lab","W","1300-1650","FORBES 2051","Lattanzio, M","8","Open",
"8255","BIOL 496","1","Athletic Training","1 - 3","","Ind","","","ARR ","Brown, G","0","Closed",
"8372","BIOL 496","2","Ind St: Sustainable Agricultur","1 - 3","","Ind","","","ARR ","Ruane, L","0","Closed",
"8366","BIOL 499","1","Ind St: Sexual Conflict in Cla","1 - 3","","Ind","","","ARR ","Ruane, L","0","Closed",
"8367","BIOL 499","2","Ind St:Flavaniods in Mangrove","1 - 3","","Ind","","","ARR ","Ruane, L","0","Closed",
"8368","BIOL 499","3","Ind St: Dentistry","1 - 3","","Ind","","","ARR ","Brown, G","0","Closed",
"7467","BUSN 231","1","Applied Business Statistics","3","","Lec","MW","1800-1915","LUTR 105","Staff","1","Open",
"7468","BUSN 231","2","Applied Business Statistics","3","","Lec","MW","1930-2045","LUTR 105","Staff","8","Open",
"7469","BUSN 231","3","Applied Business Statistics","3","","Lec","TR","0930-1045","LUTR 105","Pringle, P","0","Closed",
"7470","BUSN 231","4","Applied Business Statistics","3","","Lec","TR","1100-1215","LUTR 105","Deniz, B","0","Closed",
"7471","BUSN 231","5","Applied Business Statistics","3","","Lec","TR","1500-1615","LUTR 105","Deniz, B","0","Closed",
"7472","BUSN 300","1","Organizational Behavior","3","","Lec","MWF","0800-0850","LUTR 137","Spranger, A","5","Open",
"7473","BUSN 300","2","Organizational Behavior","3","","Lec","MWF","0900-0950","LUTR 137","Spranger, A","0","Closed",
"7474","BUSN 303","1","Fundamentals of Business","3","","Lec","MWF","1000-1050","FORBES 3012","Staff","0","Closed",
"7475","BUSN 304","1","Operations Management","3","","Lec","MWF","1100-1150","LUTR 123","Hasbrouck, R","0","Closed",
"7476","BUSN 304","2","Operations Management","3","","Lec","TR","1630-1745","LUTR 137","Deniz, B","0","Closed",
"7477","BUSN 311","1","Marketing Management","3","","Lec","MWF","1100-1150","LUTR 170","Hettche, M","0","Closed",
"7478","BUSN 311","2","Marketing Management","3","","Lec","MWF","1300-1350","LUTR 170","Staff","7","Open",
"7479","BUSN 323","1","Corporate Finance","3","","Lec","MWF","1000-1050","LUTR 123","Qin, N","0","Closed",
"7480","BUSN 323","2","Corporate Finance","3","","Lec","MWF","1400-1450","LUTR 123","Qin, N","2","Open",
"7481","BUSN 323","3","Corporate Finance","3","","Lec","MW","1800-1915","LUTR 123","Staff","0","Closed",
"7484","BUSN 351","2","Business Law I","3","","Lec","TR","1630-1745","LUTR 142","Staff","0","Closed",
"7485","BUSN 352","1","Business Law II","3","","Lec","TR","0930-1045","LUTR 347","Cohen, R","19","Open",
"7486","BUSN 370","1","Bus &amp; Acct Info Systems","3","","Lec","MWF","1400-1450","LUTR 105","Lindquist, A","2","Open",
"7487","BUSN 370","2","Bus &amp; Acct Info Systems","3","","Lec","MWF","1500-1550","LUTR 105","Lindquist, A","11","Open",
"7488","BUSN 371","1","Management Information Systems","3","","Lec","MWF","1100-1150","LUTR 105","Lindquist, A","0","Closed",
"7489","BUSN 371","2","Management Information Systems","3","","Lec","MWF","1300-1350","LUTR 105","Shaltayev, D","1","Open",
"7490","BUSN 418","1","Strategic Management","3","","Lec","TR","1330-1445","FORBES 2058","Donaldson, W","0","Closed",
"7491","BUSN 418","2","Strategic Management","3","","Lec","TR","1630-1745","FORBES 2058","Donaldson, W","0","Closed",
"7492","BUSN 418","3","Strategic Management","3","","Lec","TR","1800-1915","FORBES 2058","Donaldson, W","0","Closed",
"7493","BUSN 440","1","Small Business Institute","3","","Lec","W","1830-2115","LUTR 347","Staff","0","Closed",
"7494","BUSN 440","2","Small Business Institute","3","","Lec","W","1830-2115","LUTR 121","Donaldson, W","0","Closed",
"7495","BUSN 480","1","Internship in Business","3","","Int","","","ARR ","Staff","0","Closed",
"7496","BUSN 491","1","Brout Seminar","3","","Lec","MWF","0900-0950","LUTR 123","Rahim, N","1","Open",
"8318","CELL 133","1","Applied Music: Cello","2","","Lab","","","ARR ","Greydanus, P","0","Closed",
"8265","CELL 234","1","Applied Music: Cello","2","","Lab","","","ARR ","Greydanus, P","0","Closed",
